Date,Confirmed
16-03-2020,23
20-03-2020,23
30-03-2020,23
01-04-2020,23
21-03-2020,24
22-03-2020,24
02-04-2020,24
04-04-2020,24
14-04-2020,24
12-04-2020,25
17-03-2020,26
21-03-2020,26
22-03-2020,26
23-03-2020,26
26-03-2020,26
31-03-2020,26
05-04-2020,26
06-04-2020,26
06-04-2020,26
07-04-2020,26
18-03-2020,27
19-03-2020,27
22-03-2020,27
08-04-2020,27
15-04-2020,27
20-03-2020,28
23-03-2020,28
24-03-2020,28
25-03-2020,28
09-04-2020,28
10-04-2020,28
11-04-2020,28
16-04-2020,28
22-03-2020,29
23-03-2020,29
23-03-2020,29
24-03-2020,29
25-03-2020,29
27-03-2020,29
03-04-2020,29
10-04-2020,29
11-04-2020,29
12-04-2020,29
24-03-2020,30
26-03-2020,30
27-03-2020,30
28-03-2020,30
29-03-2020,30
04-04-2020,30
05-04-2020,30
23-03-2020,31
25-03-2020,31
29-03-2020,31
07-04-2020,31
08-04-2020,31
13-04-2020,31
13-04-2020,31
14-04-2020,31
14-04-2020,31
15-03-2020,32
16-03-2020,32
23-03-2020,32
24-03-2020,32
06-04-2020,32
07-04-2020,32
12-04-2020,32
13-04-2020,32
14-04-2020,32
23-03-2020,33
24-03-2020,33
24-03-2020,33
26-03-2020,33
27-03-2020,33
28-03-2020,33
29-03-2020,33
15-04-2020,33
15-04-2020,33
15-04-2020,33
16-04-2020,33
16-04-2020,33
24-03-2020,35
25-03-2020,35
09-04-2020,35
10-04-2020,35
11-04-2020,35
12-04-2020,35
13-04-2020,35
14-04-2020,35
16-04-2020,35
25-03-2020,36
26-03-2020,36
27-03-2020,36
30-03-2020,36
24-03-2020,37
25-03-2020,37
01-04-2020,37
15-04-2020,37
16-04-2020,37
25-03-2020,38
28-03-2020,38
29-03-2020,38
30-03-2020,38
31-03-2020,38
08-04-2020,38
17-03-2020,39
28-03-2020,39
09-04-2020,39
21-03-2020,40
28-03-2020,40
31-03-2020,40
31-03-2020,40
25-03-2020,41
26-03-2020,41
26-03-2020,41
27-03-2020,41
27-03-2020,41
31-03-2020,41
18-03-2020,42
01-04-2020,42
07-04-2020,42
08-04-2020,42
09-04-2020,42
26-03-2020,43
27-03-2020,43
01-04-2020,43
02-04-2020,43
26-03-2020,44
10-04-2020,44
27-03-2020,45
28-03-2020,45
30-03-2020,46
02-04-2020,46
19-03-2020,47
30-03-2020,47
31-03-2020,47
30-03-2020,48
03-04-2020,48
11-04-2020,48
29-03-2020,49
29-03-2020,49
03-04-2020,49
04-04-2020,49
20-03-2020,52
22-03-2020,52
02-04-2020,53
28-03-2020,54
31-03-2020,54
12-04-2020,54
13-04-2020,54
26-03-2020,55
27-03-2020,55
28-03-2020,55
28-03-2020,55
29-03-2020,55
14-04-2020,55
28-03-2020,56
04-04-2020,57
05-04-2020,57
29-03-2020,58
30-03-2020,59
05-04-2020,59
10-04-2020,60
11-04-2020,60
15-04-2020,60
16-04-2020,60
01-04-2020,62
02-04-2020,62
21-03-2020,63
03-04-2020,63
12-04-2020,64
13-04-2020,64
29-03-2020,65
29-03-2020,66
01-04-2020,66
14-04-2020,66
22-03-2020,67
23-03-2020,67
30-03-2020,67
30-03-2020,69
04-04-2020,69
15-04-2020,70
30-03-2020,71
31-03-2020,73
23-03-2020,74
31-03-2020,74
31-03-2020,74
16-04-2020,74
03-04-2020,75
04-04-2020,75
29-03-2020,76
06-04-2020,76
03-04-2020,77
31-03-2020,79
05-04-2020,80
06-04-2020,80
30-03-2020,82
01-04-2020,82
30-03-2020,83
31-03-2020,83
01-04-2020,83
06-04-2020,84
02-04-2020,86
30-03-2020,87
02-04-2020,87
24-03-2020,89
07-04-2020,90
07-04-2020,91
07-04-2020,91
08-04-2020,91
01-04-2020,93
24-03-2020,95
03-04-2020,95
01-04-2020,96
31-03-2020,97
02-04-2020,99
08-04-2020,99
31-03-2020,101
01-04-2020,101
09-04-2020,101
01-04-2020,103
09-04-2020,103
03-04-2020,104
04-04-2020,104
04-04-2020,105
05-04-2020,106
02-04-2020,107
02-04-2020,108
25-03-2020,109
06-04-2020,109
02-04-2020,110
02-04-2020,113
07-04-2020,116
08-04-2020,116
10-04-2020,116
26-03-2020,118
05-04-2020,122
26-03-2020,124
03-04-2020,124
11-04-2020,126
25-03-2020,128
04-04-2020,128
27-03-2020,130
03-04-2020,132
10-04-2020,132
11-04-2020,132
12-04-2020,134
27-03-2020,137
05-04-2020,144
06-04-2020,144
08-04-2020,147
06-04-2020,151
12-04-2020,151
01-04-2020,152
13-04-2020,152
03-04-2020,158
09-04-2020,158
04-04-2020,159
04-04-2020,161
05-04-2020,165
06-04-2020,165
07-04-2020,165
08-04-2020,165
03-04-2020,167
13-04-2020,167
09-04-2020,169
10-04-2020,169
03-04-2020,172
04-04-2020,174
07-04-2020,175
08-04-2020,175
28-03-2020,176
14-04-2020,176
11-04-2020,177
09-04-2020,179
28-03-2020,180
09-04-2020,181
29-03-2020,182
10-04-2020,184
12-04-2020,185
13-04-2020,185
29-03-2020,186
15-04-2020,186
16-04-2020,186
05-04-2020,190
14-04-2020,190
10-04-2020,197
30-03-2020,198
14-04-2020,199
15-04-2020,199
04-04-2020,200
05-04-2020,200
30-03-2020,202
16-04-2020,205
11-04-2020,207
15-04-2020,213
11-04-2020,214
31-03-2020,216
02-04-2020,219
03-04-2020,219
12-04-2020,224
06-04-2020,226
12-04-2020,226
05-04-2020,227
07-04-2020,229
08-04-2020,229
16-04-2020,231
31-03-2020,234
01-04-2020,234
02-04-2020,234
01-04-2020,241
10-04-2020,241
13-04-2020,245
13-04-2020,247
14-04-2020,258
09-04-2020,259
10-04-2020,259
02-04-2020,265
07-04-2020,266
05-04-2020,269
14-04-2020,270
06-04-2020,274
15-04-2020,277
15-04-2020,278
03-04-2020,286
07-04-2020,288
04-04-2020,295
16-04-2020,300
01-04-2020,302
06-04-2020,305
07-04-2020,305
08-04-2020,305
05-04-2020,306
11-04-2020,308
03-04-2020,309
06-04-2020,314
16-04-2020,315
06-04-2020,321
07-04-2020,327
08-04-2020,328
02-04-2020,335
03-04-2020,335
08-04-2020,336
08-04-2020,343
09-04-2020,345
09-04-2020,348
10-04-2020,357
10-04-2020,363
07-04-2020,364
11-04-2020,364
12-04-2020,374
13-04-2020,376
14-04-2020,379
11-04-2020,381
12-04-2020,381
09-04-2020,383
15-04-2020,387
16-04-2020,388
09-04-2020,410
04-04-2020,411
08-04-2020,427
10-04-2020,431
12-04-2020,432
13-04-2020,432
11-04-2020,433
09-04-2020,442
11-04-2020,443
04-04-2020,445
12-04-2020,452
10-04-2020,463
10-04-2020,473
14-04-2020,473
13-04-2020,483
05-04-2020,485
04-04-2020,490
05-04-2020,490
05-04-2020,503
15-04-2020,503
11-04-2020,504
12-04-2020,504
06-04-2020,523
16-04-2020,534
13-04-2020,539
11-04-2020,553
13-04-2020,562
12-04-2020,564
06-04-2020,571
07-04-2020,576
08-04-2020,576
13-04-2020,604
14-04-2020,617
07-04-2020,621
14-04-2020,624
15-04-2020,647
14-04-2020,657
09-04-2020,669
08-04-2020,690
15-04-2020,695
16-04-2020,698
12-04-2020,700
14-04-2020,730
15-04-2020,735
09-04-2020,738
06-04-2020,748
16-04-2020,773
13-04-2020,812
10-04-2020,834
07-04-2020,868
16-04-2020,871
14-04-2020,879
10-04-2020,898
11-04-2020,903
11-04-2020,911
12-04-2020,969
15-04-2020,987
15-04-2020,1005
08-04-2020,1018
16-04-2020,1023
12-04-2020,1069
13-04-2020,1075
16-04-2020,1120
09-04-2020,1135
13-04-2020,1154
14-04-2020,1173
15-04-2020,1204
16-04-2020,1242
10-04-2020,1364
14-04-2020,1510
15-04-2020,1561
11-04-2020,1574
16-04-2020,1578
12-04-2020,1761
13-04-2020,1985
14-04-2020,2337
15-04-2020,2687
16-04-2020,2919
